congestion_distance,speed,status,congestion_trend,section_desc,name,time
410,13.25,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 11:31:49
290,6.16,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:51:58
120,6.16,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:51:58
270,16.04,3,加重,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-20 11:51:58
290,7.03,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:12:08
120,7.03,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:12:08
210,6.45,3,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-20 12:32:18
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:52:28
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:52:28
210,14.54,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-20 12:52:29
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:33:17
170,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:33:17
170,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:53:27
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:53:27
210,13.6,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-20 14:53:27
240,11.92,3,缓解,"西向东,博爱南路附近",文明中路,2023-03-20 14:53:28
290,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:13:37
120,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:13:37
210,13.6,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-20 15:13:37
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:33:47
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:33:47
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:53:57
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 15:53:57
100,10.6,2,加重,"西向东,文明天桥附近",文明中路,2023-03-20 15:53:57
200,15.69,3,加重,"南向北,和平北路辅路附近",和平北路,2023-03-20 16:14:07
240,12.19,3,加重,"西向东,博爱南路附近",文明中路,2023-03-20 16:14:08
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 16:54:28
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 16:54:28
210,13.37,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-20 17:14:40
490,7.31,3,加重,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-20 17:34:50
630,15.44,2,缓解,"北向南,从文明天桥到东湖天桥",和平南路,2023-03-20 17:34:50
290,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 17:55:01
120,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 17:55:01
450,14.41,3,持平,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-20 17:55:01
180,13.6,3,缓解,"北向南,从和平天桥到海府路",和平南路,2023-03-20 17:55:02
490,13.82,2,持平,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-20 17:55:02
410,5.71,4,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 17:55:02
240,10.21,4,加重,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 17:55:02
120,18.8,2,加重,"西向东,文明天桥附近",文明东路,2023-03-20 17:55:02
210,12.98,3,加重,"西向东,博爱南路附近",文明中路,2023-03-20 17:55:03
690,8.89,4,持平,"北向南,文明天桥附近",和平北路,2023-03-20 18:15:14
390,16.38,3,缓解,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-20 18:15:14
120,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-20 18:15:14
410,6.47,4,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 18:15:14
100,10.6,2,持平,"西向东,文明天桥附近",文明中路,2023-03-20 18:15:15
290,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 18:35:26
120,5.36,4,持平,"北向南,文明天桥附近",和平北路,2023-03-20 18:35:26
450,13.06,3,持平,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-20 18:35:26
400,3.06,4,加重,"南向北,从五指山路到海府路",和平南路,2023-03-20 18:35:26
360,15.53,3,持平,"北向南,从和平天桥到海府路",和平南路,2023-03-20 18:35:26
710,12.04,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 18:35:26
410,13.77,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 18:35:26
240,12.03,3,加重,"西向东,博爱南路附近",文明中路,2023-03-20 18:35:27
520,17.21,3,持平,"南向北,文明天桥附近",和平北路,2023-03-20 18:55:37
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 18:55:37
620,16.4,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 18:55:37
410,8.05,4,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 18:55:38
600,10.48,3,缓解,"东向西,从美兰区板桥路到东风桥",文明东路,2023-03-20 18:55:38
240,14.52,3,加重,"西向东,博爱南路附近",文明中路,2023-03-20 18:55:38
250,13.6,3,加重,"南向北,和平北路附近",和平北路,2023-03-20 19:15:49
120,15.96,2,持平,"北向南,文明天桥附近",和平北路,2023-03-20 19:15:49
290,15.96,2,持平,"北向南,文明天桥附近",和平北路,2023-03-20 19:15:49
190,5.36,4,加重,"东向西,东风桥附近",文明东路,2023-03-20 19:15:49
410,12.14,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 19:15:49
250,13.6,3,加重,"西向东,从文明天桥到东风桥",文明东路,2023-03-20 19:15:49
210,14.38,2,缓解,"南向北,从建山里到文明天桥",和平南路,2023-03-20 19:35:59
230,12.94,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 19:36:00
240,11.25,3,加重,"西向东,博爱南路附近",文明中路,2023-03-21 12:03:11
140,19.99,3,加重,"南向北,锦山里北街附近",和平北路,2023-03-21 12:23:21
210,13.6,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-21 12:23:22
360,17.09,2,加重,"北向南,从和平天桥到海府路",和平南路,2023-03-21 12:23:22
