status,latitude,longitude,temperature,is_weekend,hour
1.08333,39.919614,116.451179,11.0,0,17
1.77273,39.992258,116.484573,11.0,0,17
1.25,39.880608,116.466821,11.0,0,17
1.6,39.992258,116.484573,11.0,0,17
1.125,39.919614,116.451179,11.0,0,17
1.0,39.880608,116.466821,11.0,0,17
1.0,39.992258,116.484573,11.0,0,17
1.45,39.992258,116.484573,11.0,0,17
1.25,39.880608,116.466821,11.0,0,17
1.08333,39.919614,116.451179,11.0,0,17
1.6,39.992258,116.484573,11.0,0,17
1.5,39.880608,116.466821,11.0,0,17
1.125,39.919614,116.451179,11.0,0,17
1.20833,39.919614,116.451179,11.0,0,17
1.55556,39.880608,116.466821,11.0,0,17
1.6,39.992258,116.484573,11.0,0,17
1.25,39.919614,116.451179,11.0,0,17
1.0,39.880608,116.466821,11.0,0,17
1.6,39.992258,116.484573,11.0,0,17
1.29167,39.919614,116.451179,11.0,0,17
1.7,39.992258,116.484573,11.0,0,17
1.0,39.880608,116.466821,11.0,0,17
1.65,39.992258,116.484573,11.0,0,17
1.0,39.880608,116.466821,11.0,0,17
1.41667,39.919614,116.451179,11.0,0,17
1.5,39.919614,116.451179,11.0,0,17
1.6,39.992258,116.484573,11.0,0,17
1.125,39.880608,116.466821,11.0,0,17
1.0,39.919614,116.451179,11.0,0,17
1.65,39.992258,116.484573,11.0,0,17
1.0,39.880608,116.466821,11.0,0,17
1.29167,39.919614,116.451179,11.0,0,17
2.0,39.880608,116.466821,10.0,0,18
1.77273,39.992258,116.484573,10.0,0,18
1.33333,39.919614,116.451179,10.0,0,18
1.32,39.919614,116.451179,10.0,0,18
1.86364,39.992258,116.484573,10.0,0,18
2.22222,39.880608,116.466821,10.0,0,18
1.375,39.919614,116.451179,9.0,0,18
1.7619,39.992258,116.484573,9.0,0,18
2.09091,39.880608,116.466821,9.0,0,18
1.88889,39.880608,116.466821,9.0,0,18
1.52632,39.992258,116.484573,9.0,0,18
1.33333,39.919614,116.451179,9.0,0,18
1.25,39.919614,116.451179,9.0,0,19
1.47368,39.992258,116.484573,9.0,0,19
1.88889,39.880608,116.466821,9.0,0,19
1.52632,39.992258,116.484573,9.0,0,19
1.33333,39.880608,116.466821,9.0,0,19
1.25,39.919614,116.451179,9.0,0,19
1.3125,39.919614,116.451179,9.0,0,19
1.57895,39.992258,116.484573,9.0,0,19
1.55556,39.880608,116.466821,9.0,0,19
1.375,39.919614,116.451179,9.0,0,19
1.42105,39.992258,116.484573,9.0,0,19
1.20833,39.919614,116.451179,9.0,0,19
1.0,39.880608,116.466821,9.0,0,19
1.0,39.880608,116.466821,9.0,0,19
1.08333,39.919614,116.451179,9.0,0,19
1.42105,39.992258,116.484573,9.0,0,19
1.0,39.919614,116.451179,9.0,0,19
1.04167,39.919614,116.451179,5.0,0,10
1.0,39.880608,116.466821,5.0,0,10
1.5,39.992258,116.484573,5.0,0,10
1.0,39.919614,116.451179,5.0,0,11
1.26316,39.992258,116.484573,5.0,0,11
1.0,39.880608,116.466821,5.0,0,11
1.125,39.919614,116.451179,5.0,0,11
1.0,39.880608,116.466821,5.0,0,11
1.15789,39.992258,116.484573,5.0,0,11
1.0,39.919614,116.451179,5.0,0,11
1.0,39.880608,116.466821,5.0,0,11
1.3,39.992258,116.484573,5.0,0,11
1.0,39.919614,116.451179,5.0,0,11
1.04167,39.919614,116.451179,5.0,0,12
1.31579,39.992258,116.484573,5.0,0,12
1.125,39.880608,116.466821,5.0,0,12
1.04167,39.919614,116.451179,5.0,0,12
1.0,39.880608,116.466821,5.0,0,12
1.47619,39.992258,116.484573,5.0,0,12
1.0,26.58533,106.720074,16.0,0,12
1.13333,26.586553,106.707252,16.0,0,12
1.04167,39.919614,116.451179,6.0,0,12
1.54545,39.992258,116.484573,6.0,0,12
1.0,39.880608,116.466821,6.0,0,12
1.05882,26.58533,106.720074,16.0,0,13
1.06667,26.586553,106.707252,16.0,0,13
1.04167,39.919614,116.451179,6.0,0,13
1.0,39.880608,116.466821,6.0,0,13
1.59091,39.992258,116.484573,6.0,0,13
1.05882,26.58533,106.720074,16.0,0,13
1.14286,26.586553,106.707252,16.0,0,13
1.0,26.586553,106.707252,16.0,0,13
1.0625,39.919614,116.451179,6.0,0,13
1.54545,39.992258,116.484573,6.0,0,13
1.0,39.880608,116.466821,6.0,0,13
1.0,39.919614,116.451179,6.0,0,13
1.13333,26.586553,106.707252,16.0,0,13
1.33333,26.58533,106.720074,16.0,0,13
1.0,39.880608,116.466821,8.0,0,14
1.4,39.992258,116.484573,8.0,0,14
1.08333,39.919614,116.451179,8.0,0,14
1.0,26.586553,106.707252,16.0,0,14
1.16667,26.58533,106.720074,16.0,0,14
1.25,39.919614,116.451179,8.0,0,14
1.26316,39.992258,116.484573,8.0,0,14
1.0,39.880608,116.466821,8.0,0,14
1.22222,26.58533,106.720074,16.0,0,14
1.1,26.586553,106.707252,16.0,0,14
1.31579,39.992258,116.484573,8.0,0,14
1.0,39.880608,116.466821,8.0,0,14
1.25,39.919614,116.451179,8.0,0,14
1.03333,26.586553,106.707252,17.0,0,14
1.11765,26.58533,106.720074,17.0,0,14
1.0,39.880608,116.466821,8.0,0,15
1.59091,39.992258,116.484573,8.0,0,15
1.25,39.919614,116.451179,8.0,0,15
1.11765,26.58533,106.720074,17.0,0,15
1.16667,26.586553,106.707252,17.0,0,15
1.54545,39.992258,116.484573,8.0,0,15
1.20833,39.919614,116.451179,8.0,0,15
1.0,39.880608,116.466821,8.0,0,15
1.1,26.586553,106.707252,17.0,0,15
1.22222,26.58533,106.720074,17.0,0,15
1.25,39.880608,116.466821,8.0,0,15
1.54545,39.992258,116.484573,8.0,0,15
1.5,39.919614,116.451179,8.0,0,15
1.09091,26.58533,106.720074,17.0,0,15
1.25806,26.586553,106.707252,18.0,0,15
1.0,26.58533,106.720074,18.0,0,15
1.55556,26.600023,106.711234,18.0,0,15
1.125,39.880608,116.466821,10.0,0,16
1.29167,39.919614,116.451179,10.0,0,16
1.59091,39.992258,116.484573,10.0,0,16
1.11765,26.58533,106.720074,18.0,0,16
1.21875,26.586553,106.707252,18.0,0,16
1.1875,26.600023,106.711234,18.0,0,16
1.375,39.880608,116.466821,10.0,0,16
1.25,39.919614,116.451179,10.0,0,16
1.65,39.992258,116.484573,10.0,0,16
1.44444,26.58533,106.720074,18.0,0,16
1.23333,26.586553,106.707252,18.0,0,16
1.33333,26.600023,106.711234,18.0,0,16
1.5,39.992258,116.484573,10.0,0,16
1.33333,39.919614,116.451179,10.0,0,16
2.0,39.880608,116.466821,10.0,0,16
1.375,26.600023,106.711234,17.0,0,16
1.36842,26.58533,106.720074,17.0,0,16
1.2,26.586553,106.707252,17.0,0,16
1.66667,39.880608,116.466821,9.0,0,17
1.77273,39.992258,116.484573,9.0,0,17
1.25,39.919614,116.451179,9.0,0,17
1.58065,26.586553,106.707252,17.0,0,17
1.0,26.600023,106.711234,17.0,0,17
1.61111,26.58533,106.720074,17.0,0,17
2.07143,26.600023,106.711234,17.0,0,17
1.36364,39.919614,116.451179,9.0,0,17
2.1875,39.992258,116.484573,9.0,0,17
1.0,39.919614,116.451179,9.0,0,17
1.57895,26.58533,106.720074,17.0,0,17
1.53333,26.600023,106.711234,17.0,0,17
1.51613,26.586553,106.707252,17.0,0,17
1.78125,26.586553,106.707252,17.0,0,17
2.05882,26.600023,106.711234,17.0,0,17
1.86364,26.58533,106.720074,17.0,0,17
2.0,26.58533,106.720074,17.0,0,18
2.23529,26.600023,106.711234,17.0,0,18
1.94286,26.586553,106.707252,17.0,0,18
1.85714,39.992258,116.484573,9.0,0,18
2.0,26.58533,106.720074,17.0,0,18
1.66667,39.919614,116.451179,9.0,0,18
1.76471,26.586553,106.707252,17.0,0,18
2.0625,26.600023,106.711234,17.0,0,18
2.0,39.880608,116.466821,9.0,0,18
1.75,39.919614,116.451179,9.0,0,18
2.25,39.992258,116.484573,9.0,0,18
2.0,26.58533,106.720074,17.0,0,18
2.05263,26.586553,106.707252,17.0,0,18
2.22222,26.600023,106.711234,17.0,0,18
1.89474,26.58533,106.720074,15.0,0,18
1.55882,26.586553,106.707252,15.0,0,18
1.25,26.600023,106.711234,15.0,0,18
1.83333,26.600023,106.711234,15.0,0,18
1.375,39.919614,116.451179,8.0,0,19
1.5,39.880608,116.466821,8.0,0,19
1.94737,39.992258,116.484573,8.0,0,19
1.56667,26.586553,106.707252,15.0,0,19
1.8,26.58533,106.720074,15.0,0,19
1.70588,26.600023,106.711234,15.0,0,19
2.14286,39.992258,116.484573,8.0,0,19
1.29167,39.919614,116.451179,8.0,0,19
1.5,39.880608,116.466821,8.0,0,19
1.61111,26.58533,106.720074,15.0,0,19
1.2,26.586553,106.707252,15.0,0,19
1.5625,26.600023,106.711234,15.0,0,19
1.84615,39.992258,116.484573,7.0,0,19
1.20833,39.919614,116.451179,7.0,0,19
1.3,26.586553,106.707252,14.0,0,19
1.52941,26.58533,106.720074,14.0,0,19
1.58824,26.600023,106.711234,14.0,0,19
1.73684,39.992258,116.484573,7.0,0,20
1.16667,39.919614,116.451179,7.0,0,20
1.55556,39.880608,116.466821,7.0,0,20
1.42105,26.58533,106.720074,14.0,0,20
1.5,26.586553,106.707252,14.0,0,20
1.13333,26.600023,106.711234,14.0,0,20
1.07692,26.586553,106.707252,14.0,0,20
1.25,39.919614,116.451179,7.0,0,20
1.95455,39.992258,116.484573,7.0,0,20
1.25,39.880608,116.466821,7.0,0,20
1.11765,26.58533,106.720074,14.0,0,20
1.2,26.600023,106.711234,14.0,0,20
1.3,26.586553,106.707252,14.0,0,20
1.5,39.919614,116.451179,7.0,0,20
1.7619,39.992258,116.484573,7.0,0,20
