status,temperature,latitude,longitude,is_weekend,hour
1.2839756,23,39.919614,116.451179,0,18.89959
0.99868906,23,39.919614,116.451179,0,1.6131
1.4156485,23,39.919614,116.451179,0,18.46687
1.6104058,23,39.919614,116.451179,0,17.53635
0.99840665,23,39.919614,116.451179,0,-0.03133
1.4843205,23,39.919614,116.451179,0,18.19178
0.99180543,23,39.919614,116.451179,0,22.73694
1.0408314,23,39.919614,116.451179,0,6.69289
1.2077591,23,39.919614,116.451179,0,15.55014
1.1584356,23,39.919614,116.451179,1,20.26712
1.250869,23,39.919614,116.451179,1,10.7568
1.044971,23,39.919614,116.451179,0,6.80775
1.2342312,23,39.919614,116.451179,1,10.22706
1.4682808,23,39.919614,116.451179,1,17.03685
1.2128935,23,39.919614,116.451179,1,9.58775
1.4447688,23,39.919614,116.451179,1,15.18648
1.007991,23,39.919614,116.451179,0,22.0588
1.1631904,23,39.919614,116.451179,0,11.31927
0.99870896,23,39.919614,116.451179,0,1.65416
1.1118355,23,39.919614,116.451179,1,7.21246
1.3561724,23,39.919614,116.451179,0,18.66663
1.0181735,23,39.919614,116.451179,0,21.74262
1.179223,23,39.919614,116.451179,0,14.67936
1.4031378,23,39.919614,116.451179,1,14.05107
1.4869262,23,39.919614,116.451179,0,16.9136
1.1564602,23,39.919614,116.451179,0,11.80211
1.1769695,23,39.919614,116.451179,0,14.51217
0.99945164,23,39.919614,116.451179,0,2.37452
1.0917059,23,39.919614,116.451179,1,21.15761
1.4458159,23,39.919614,116.451179,1,15.21579
1.1030229,23,39.919614,116.451179,0,19.84018
1.1764297,23,39.919614,116.451179,0,14.47088
1.0130564,23,39.919614,116.451179,1,3.10683
1.4078103,23,39.919614,116.451179,1,14.17514
1.1541089,23,39.919614,116.451179,0,11.94713
1.0413586,23,39.919614,116.451179,1,5.35192
0.9986173,23,39.919614,116.451179,0,1.46509
1.2216717,23,39.919614,116.451179,1,19.42556
0.9999094,23,39.919614,116.451179,0,2.86461
1.4669267,23,39.919614,116.451179,0,18.26146
1.0028298,23,39.919614,116.451179,0,4.40683
1.1862262,23,39.919614,116.451179,0,19.25751
1.0160619,23,39.919614,116.451179,0,21.80449
1.1356663,23,39.919614,116.451179,0,8.91772
1.0003983,23,39.919614,116.451179,0,3.38796
0.9982079,23,39.919614,116.451179,0,0.6206
1.4658103,23,39.919614,116.451179,1,17.67139
0.96613634,23,39.919614,116.451179,0,24.55767
1.1064993,23,39.919614,116.451179,0,19.79295
1.4270445,23,39.919614,116.451179,0,16.73579
1.2914469,23,39.919614,116.451179,0,16.19865
1.2993209,23,39.919614,116.451179,1,12.28537
1.1523758,23,39.919614,116.451179,0,12.10335
1.4611812,23,39.919614,116.451179,0,18.28448
1.166616,23,39.919614,116.451179,0,10.91748
1.1976511,23,39.919614,116.451179,0,15.28026
1.0877396,23,39.919614,116.451179,0,20.04645
1.0059973,23,39.919614,116.451179,1,2.02206
1.1832403,23,39.919614,116.451179,0,14.81965
1.002318,23,39.919614,116.451179,0,4.31911
0.99829674,23,39.919614,116.451179,0,0.13715
1.1777449,23,39.919614,116.451179,0,19.29246
1.0232451,23,39.919614,116.451179,1,4.09521
1.1659042,23,39.919614,116.451179,0,9.50662
1.0018125,23,39.919614,116.451179,0,-1.64942
1.5252846,23,39.919614,116.451179,0,18.01815
1.1226155,23,39.919614,116.451179,0,8.64252
1.1433458,23,39.919614,116.451179,1,20.46349
1.0073158,23,39.919614,116.451179,0,4.92655
1.4201065,23,39.919614,116.451179,1,14.50163
1.0917896,23,39.919614,116.451179,0,7.92771
1.1581208,23,39.919614,116.451179,0,13.10802
1.0454546,23,39.919614,116.451179,0,6.82091
1.1543397,23,39.919614,116.451179,0,9.285
1.1603292,23,39.919614,116.451179,0,13.42387
1.0046576,23,39.919614,116.451179,0,22.16731
1.0027431,23,39.919614,116.451179,0,4.39197
1.142664,23,39.919614,116.451179,0,9.05944
1.6010994,23,39.919614,116.451179,0,17.58868
1.001762,23,39.919614,116.451179,0,22.26157
1.4162289,23,39.919614,116.451179,1,14.39867
1.2907046,23,39.919614,116.451179,1,11.94336
1.1903722,23,39.919614,116.451179,0,15.04595
1.2002641,23,39.919614,116.451179,1,19.75092
1.2410711,23,39.919614,116.451179,1,10.45173
0.9981177,23,39.919614,116.451179,0,0.4345
1.2466359,23,39.919614,116.451179,0,15.95787
1.4136413,23,39.919614,116.451179,1,14.32996
1.1437877,23,39.919614,116.451179,1,20.45774
1.0087938,23,39.919614,116.451179,1,-0.63747
1.1555336,23,39.919614,116.451179,0,12.75365
1.1901474,23,39.919614,116.451179,0,15.0388
0.99935865,23,39.919614,116.451179,0,2.27492
1.0812707,23,39.919614,116.451179,0,7.67873
1.0611514,23,39.919614,116.451179,0,20.6226
1.0176396,23,39.919614,116.451179,0,21.75817
1.2512131,23,39.919614,116.451179,0,16.00322
1.0003332,23,39.919614,116.451179,0,3.31827
1.0277133,23,39.919614,116.451179,1,4.5439
1.0782752,23,39.919614,116.451179,1,21.46323
1.4894488,23,39.919614,116.451179,0,16.92109
1.1046818,23,39.919614,116.451179,0,19.81765
1.0161103,23,39.919614,116.451179,0,21.80307
1.1561823,23,39.919614,116.451179,0,12.85821
1.2174454,23,39.919614,116.451179,1,19.49475
1.156404,23,39.919614,116.451179,0,12.88678
1.149749,23,39.919614,116.451179,0,9.19641
1.4569612,23,39.919614,116.451179,1,15.52766
1.0478024,23,39.919614,116.451179,0,6.88407
0.9992399,23,39.919614,116.451179,0,-0.53059
1.0006343,23,39.919614,116.451179,0,3.73725
1.0047382,23,39.919614,116.451179,1,1.171
0.99853325,23,39.919614,116.451179,0,1.29194
1.459545,23,39.919614,116.451179,1,15.60127
1.0467778,23,39.919614,116.451179,1,22.28138
1.4129676,23,39.919614,116.451179,0,18.47759
1.1101669,23,39.919614,116.451179,1,7.17809
1.3312869,23,39.919614,116.451179,1,18.71786
1.4057232,23,39.919614,116.451179,1,18.29293
1.0000468,23,39.919614,116.451179,0,3.01164
1.0749516,23,39.919614,116.451179,1,6.41728
0.99959266,23,39.919614,116.451179,0,2.52541
1.1549006,23,39.919614,116.451179,0,12.55472
0.9705812,23,39.919614,116.451179,0,24.28462
1.0317624,23,39.919614,116.451179,0,21.35234
1.449859,23,39.919614,116.451179,1,15.32895
1.0313708,23,39.919614,116.451179,1,4.8588000000000005
1.0217235,23,39.919614,116.451179,0,6.0133
1.0161676,23,39.919614,116.451179,1,3.511
1.1532779,23,39.919614,116.451179,1,20.33424
1.1563442,23,39.919614,116.451179,0,11.80926
1.0735286,23,39.919614,116.451179,1,21.57773
1.170326,23,39.919614,116.451179,0,10.37572
1.286142,23,39.919614,116.451179,1,11.80746
1.1851106,23,39.919614,116.451179,0,14.87899
1.4454988,23,39.919614,116.451179,0,16.79059
1.0512687,23,39.919614,116.451179,1,5.74245
1.4414369,23,39.919614,116.451179,0,18.36359
1.4501736,23,39.919614,116.451179,1,15.33776
1.1961721,23,39.919614,116.451179,0,15.23867
1.1986536,23,39.919614,116.451179,0,19.20937
1.153261,23,39.919614,116.451179,0,12.24935
0.9996748,23,39.919614,116.451179,0,2.61342
0.99445915,23,39.919614,116.451179,0,22.53064
1.0000724,23,39.919614,116.451179,0,3.03904
1.0090129,23,39.919614,116.451179,0,22.02553
1.4834204,23,39.919614,116.451179,0,16.90319
1.0704939,23,39.919614,116.451179,0,7.42659
0.99007845,23,39.919614,116.451179,0,22.88334
