time,status,location
2023-03-16 16:35:00,1.25,Beijing1
2023-03-16 16:42:00,1.3333333333333333,Beijing1
2023-03-16 17:02:00,1.0833333333333333,Beijing1
2023-03-16 17:07:00,1.125,Beijing1
2023-03-16 17:13:00,1.0833333333333333,Beijing1
2023-03-16 17:18:00,1.125,Beijing1
2023-03-16 17:23:00,1.2083333333333333,Beijing1
2023-03-16 17:29:00,1.25,Beijing1
2023-03-16 17:34:00,1.2916666666666667,Beijing1
2023-03-16 17:39:00,1.4166666666666667,Beijing1
2023-03-16 17:44:00,1.5,Beijing1
2023-03-16 17:45:00,1.0,Beijing1
2023-03-16 17:50:00,1.2916666666666667,Beijing1
2023-03-16 18:43:00,1.3333333333333333,Beijing1
2023-03-16 18:48:00,1.32,Beijing1
2023-03-16 18:53:00,1.375,Beijing1
2023-03-16 18:59:00,1.3333333333333333,Beijing1
2023-03-16 19:04:00,1.25,Beijing1
2023-03-16 19:09:00,1.25,Beijing1
2023-03-16 19:14:00,1.3125,Beijing1
2023-03-16 19:15:00,1.375,Beijing1
2023-03-16 19:20:00,1.2083333333333333,Beijing1
2023-03-16 19:25:00,1.2083333333333333,Beijing1
2023-03-16 19:30:00,1.0833333333333333,Beijing1
2023-03-16 19:36:00,1.0,Beijing1
2023-03-17 10:54:00,1.0416666666666667,Beijing1
2023-03-17 11:18:00,1.0,Beijing1
2023-03-17 11:38:00,1.125,Beijing1
2023-03-17 11:58:00,1.0,Beijing1
2023-03-17 11:59:00,1.0,Beijing1
2023-03-17 12:19:00,1.0416666666666667,Beijing1
2023-03-17 12:39:00,1.0416666666666667,Beijing1
2023-03-17 12:59:00,1.0416666666666667,Beijing1
2023-03-17 13:19:00,1.0416666666666667,Beijing1
2023-03-17 13:39:00,1.0625,Beijing1
2023-03-17 13:40:00,1.0,Beijing1
2023-03-17 14:00:00,1.0833333333333333,Beijing1
2023-03-17 14:20:00,1.25,Beijing1
2023-03-17 14:40:00,1.25,Beijing1
2023-03-17 15:00:00,1.25,Beijing1
