congestion_distance,speed,status,congestion_trend,section_desc,name,time
530,5.54,4,加重,"西向南,从师大天桥到东新路",宝山北路辅路,2023-03-19 18:25:50
820,10.72,3,持平,"北向西,从巫峰路到宝山北路",旭东路,2023-03-19 19:26:31
700,3.91,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-19 19:46:44
700,4,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-19 20:06:56
620,7.47,4,加重,"南向北,从中山东路到旭东路",宝山北路,2023-03-19 20:54:40
700,2.04,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-19 20:54:42
700,6.69,3,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-03-19 21:14:54
530,19.58,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-20 14:12:39
700,13.67,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-20 16:54:17
530,7.61,3,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-20 18:15:04
530,18.59,2,缓解,"西向东,从中华中路到师大天桥",延安东路,2023-03-20 18:15:04
760,14.8,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-20 18:35:17
700,11.28,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-20 19:35:54
550,12.35,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-03-20 20:56:42
700,12.35,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-20 21:16:54
550,10.47,3,缓解,"北向南,从旭东路到中山东路",宝山北路,2023-03-21 12:02:28
700,12.15,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-03-21 12:02:30
710,12.36,3,加重,"北向西,从师大天桥到化龙桥",延安东路,2023-03-21 13:43:33
500,13.14,2,持平,"东向南,从大吉巷到宝山北路辅路",旭东路,2023-03-21 13:43:34
710,10.37,3,加重,"北向西,从师大天桥到化龙桥",延安东路,2023-03-21 14:03:47
760,15.93,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-21 17:25:53
720,8.91,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-21 18:06:18
700,11.49,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-21 18:46:46
820,12.07,2,缓解,"北向西,从巫峰路到宝山北路",旭东路,2023-03-21 19:06:59
660,11.19,3,加重,"东向南,从旭东巷到宝山北路辅路",旭东路,2023-03-21 20:07:38
700,10.25,3,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-03-21 20:27:51
700,10.31,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-22 15:37:44
550,11.53,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-03-22 16:38:24
700,5.49,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-22 17:18:50
1190,16.28,2,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-22 17:59:15
760,14.07,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-22 17:59:15
530,7.41,4,加重,"西向东,从中华中路到师大天桥",延安东路,2023-03-22 17:59:15
530,18.06,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-22 17:59:15
760,8.27,3,持平,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-22 18:19:29
760,4.97,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-22 18:59:57
700,11.81,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-03-22 18:59:58
700,12.93,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 14:56:33
760,16,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-23 15:36:53
700,8.22,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 16:17:18
780,14.25,3,加重,"南向北,从中山东路到旭东路",宝山北路,2023-03-23 17:38:00
810,17.6,2,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-03-23 17:38:00
810,9.2,3,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-03-23 17:58:12
880,7.44,4,缓解,"南向北,从中山东路到师大天桥",宝山北路,2023-03-23 18:18:23
1220,9.64,3,持平,"北向南,师大天桥附近",宝山北路,2023-03-23 18:18:23
810,10.17,3,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-03-23 18:18:23
760,11.1,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-23 18:18:23
780,6.06,4,加重,"南向北,从中山东路到旭东路",宝山北路,2023-03-23 18:38:35
1220,11.53,3,持平,"北向南,师大天桥附近",宝山北路,2023-03-23 18:38:35
700,9.87,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 19:18:58
700,13.27,2,缓解,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 19:39:08
700,3.88,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 19:59:20
550,3.36,4,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-03-23 20:19:30
700,12.49,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-23 20:39:42
550,12.78,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-03-23 21:40:13
810,14.69,2,加重,"北向南,从师大天桥到中山东路",宝山北路辅路,2023-03-24 13:52:23
710,11.36,3,加重,"北向西,从师大天桥到化龙桥",延安东路,2023-03-24 13:52:23
700,7.92,4,加重,"西向东,从宝山北路到旭东巷",旭东路,2023-03-24 19:38:12
700,9.86,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-24 19:38:12
700,3.82,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-24 20:18:35
