congestion_distance,speed,status,congestion_trend,section_desc,name,time
720,14.64,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 16:35:50
790,22.9,3,持平,"北向南,长虹桥",长虹桥,2023-03-16 16:35:50
810,33.55,3,持平,"南向北,长虹桥",长虹桥,2023-03-16 16:35:50
720,20.58,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 16:42:55
790,18.2,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 16:42:56
810,29.19,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 16:42:56
720,27.33,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:02:47
790,25.42,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:02:47
810,31.39,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:02:47
3450,15.57,4,加重,"北向南,从燕莎桥到京广桥",东三环北路,2023-03-16 17:08:03
3200,28.31,3,持平,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:08:03
600,28.49,3,缓解,"北向南,燕莎桥",燕莎桥,2023-03-16 17:08:04
790,17.43,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:08:04
810,30.08,3,持平,"南向北,长虹桥",长虹桥,2023-03-16 17:08:04
620,11.44,3,加重,"南向北,东直门外大街辅路附近",三里屯路,2023-03-16 17:13:20
720,17.08,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:13:22
790,10.4,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:13:22
810,19.03,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:13:22
620,12.48,2,加重,"南向北,东直门外大街辅路附近",三里屯路,2023-03-16 17:18:39
720,12.86,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:18:41
790,19.02,3,持平,"北向南,长虹桥",长虹桥,2023-03-16 17:18:41
810,23.03,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:18:41
720,22.31,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:23:59
810,20.34,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:23:59
790,27.57,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:23:59
680,6.0,4,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 17:29:15
830,8.16,4,加重,"北向南,从农展桥到长虹桥",东三环北路辅路,2023-03-16 17:29:15
720,23.64,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:29:16
810,19.87,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:29:16
790,28.4,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:29:16
520,19.29,2,加重,"东向西,从农展桥到三里屯路",东直门外大街,2023-03-16 17:34:34
720,23.96,3,持平,"北向南,燕莎桥",燕莎桥,2023-03-16 17:34:35
810,20.95,3,持平,"南向北,长虹桥",长虹桥,2023-03-16 17:34:35
790,23.02,3,持平,"北向南,长虹桥",长虹桥,2023-03-16 17:34:35
550,5.39,4,加重,"北向南,从东三环北路路口到长虹桥",东三环北路辅路,2023-03-16 17:39:50
580,10.88,3,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 17:39:50
720,16.63,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:39:51
810,22.5,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:39:51
790,26.4,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:39:51
830,2.19,4,加重,"北向南,从农展桥到长虹桥",东三环北路辅路,2023-03-16 17:45:07
750,7.9,4,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 17:45:07
720,14.98,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 17:45:08
790,20.19,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 17:45:09
810,23.65,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 17:45:09
2670,4.57,4,加重,"北向南,从燕莎桥到京广桥",东三环北路,2023-03-16 18:43:18
820,15.1,4,加重,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 18:43:18
3120,18.73,3,加重,"南向北,从京广桥到三元东桥",东三环北路,2023-03-16 18:43:18
780,28.54,3,加重,"南向北,燕莎桥",燕莎桥,2023-03-16 18:43:20
790,5.84,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 18:43:20
810,18.85,3,加重,"南向北,长虹桥",长虹桥,2023-03-16 18:43:20
3350,2.56,4,加重,"北向南,从燕莎桥到京广桥",东三环北路,2023-03-16 18:48:35
820,16.64,4,持平,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 18:48:35
3100,19.87,3,持平,"南向北,从接秀桥到三元桥",东三环北路,2023-03-16 18:48:35
780,23.8,3,持平,"南向北,燕莎桥",燕莎桥,2023-03-16 18:48:37
790,2.66,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 18:48:37
810,25.59,3,缓解,"南向北,长虹桥",长虹桥,2023-03-16 18:48:37
580,3.45,4,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 18:53:53
830,6.78,4,持平,"北向南,从农展桥到长虹桥",东三环北路辅路,2023-03-16 18:53:53
720,4.06,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 18:53:54
780,27.87,3,持平,"南向北,燕莎桥",燕莎桥,2023-03-16 18:53:54
500,1.13,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 18:53:55
810,30.05,3,缓解,"南向北,长虹桥",长虹桥,2023-03-16 18:53:55
4590,6.35,4,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 18:59:10
820,18.95,3,持平,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 18:59:10
1710,23.13,3,持平,"南向北,从长虹桥到三元东桥",东三环北路,2023-03-16 18:59:10
580,5.36,4,缓解,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 18:59:11
1140,7.24,4,加重,"北向南,从接秀桥到京广桥",东三环北路辅路,2023-03-16 18:59:11
720,2.41,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 18:59:12
780,28.16,3,持平,"南向北,燕莎桥",燕莎桥,2023-03-16 18:59:12
790,8.64,4,缓解,"北向南,长虹桥",长虹桥,2023-03-16 18:59:12
4590,11.3,4,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 19:04:32
1570,15.37,4,加重,"南向北,从长虹桥到三元东桥",东三环北路,2023-03-16 19:04:32
820,20.97,3,加重,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 19:04:32
2710,4.7,4,加重,"北向南,从农展桥到京广桥",东三环北路辅路,2023-03-16 19:04:33
580,4.64,4,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 19:04:33
720,7.93,4,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 19:04:34
780,11.89,4,加重,"南向北,燕莎桥",燕莎桥,2023-03-16 19:04:34
790,14.39,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 19:04:34
1710,15.24,4,加重,"南向北,从长虹桥到三元东桥",东三环北路,2023-03-16 19:09:50
3390,19.58,3,加重,"西向南,从三元桥到长虹桥",东三环北路,2023-03-16 19:09:50
580,4.75,4,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 19:09:51
2710,5.94,4,加重,"北向南,从农展桥到京广桥",东三环北路辅路,2023-03-16 19:09:51
780,13.18,4,加重,"南向北,燕莎桥",燕莎桥,2023-03-16 19:09:52
720,28.29,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 19:09:52
790,24.89,3,加重,"北向南,长虹桥",长虹桥,2023-03-16 19:09:52
3390,11.91,4,加重,"西向南,从三元桥到长虹桥",东三环北路,2023-03-16 19:15:07
2440,12.86,4,加重,"南向北,从长虹桥到三元桥",东三环北路,2023-03-16 19:15:07
2420,1.92,4,加重,"北向南,从农展桥到京广桥",东三环北路辅路,2023-03-16 19:15:08
580,13.91,3,加重,"南向北,从接秀桥到长虹桥",东三环北路辅路,2023-03-16 19:15:08
600,18.79,3,加重,"北向南,燕莎桥",燕莎桥,2023-03-16 19:15:09
780,19.93,3,加重,"南向北,燕莎桥",燕莎桥,2023-03-16 19:15:09
790,8.62,4,加重,"北向南,长虹桥",长虹桥,2023-03-16 19:15:09
