congestion_distance,speed,status,congestion_trend,section_desc,name,time
100,5.36,4,持平,"西向东,长堤路附近",博爱北路,2023-03-19 12:40:24
190,11.23,3,加重,"南向北,从大兴东路到水巷口街",博爱北路,2023-03-19 12:40:24
120,10.97,3,加重,"西向东,从新华北路到博爱北路",解放东路,2023-03-19 12:40:27
590,16.31,2,加重,"东向南,从新华北路到友谊天桥",解放西路,2023-03-19 12:40:27
1010,18.84,3,缓解,"西向东,从白马井渔婆到北帝庙",长堤路,2023-03-19 12:40:28
100,5.36,4,持平,"西向东,长堤路附近",博爱北路,2023-03-19 13:00:35
350,14.37,3,缓解,"南向北,从解放东路到水巷口街",博爱北路,2023-03-19 13:00:35
160,16.21,3,加重,"西向东,从博爱北路到长振街",长堤路,2023-03-19 13:00:38
100,18.6,2,持平,"西向东,长堤路附近",博爱北路,2023-03-19 13:20:46
250,14.35,3,加重,"南向北,从中山纪念堂到博爱北路",博爱南路,2023-03-19 14:21:19
220,3.36,4,持平,"东向南,友谊天桥附近",解放西路,2023-03-19 14:43:01
150,12.75,3,加重,"西向东,从友谊天桥到解放东路",解放西路,2023-03-19 15:03:12
310,18.6,3,持平,"西向东,和平北路附近",长堤路,2023-03-19 15:23:24
1000,19.92,2,持平,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-19 15:23:24
220,3.36,4,加重,"东向南,友谊天桥附近",解放西路,2023-03-19 15:43:35
1490,13.95,3,加重,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-19 15:43:35
310,18.6,3,加重,"西向东,和平北路附近",长堤路,2023-03-19 15:43:35
290,14.2,2,持平,"东向西,从白马井渔婆到人民大道",长堤路,2023-03-19 15:43:35
220,10.6,2,缓解,"东向南,友谊天桥附近",解放西路,2023-03-19 16:03:46
510,19.23,2,持平,"西向东,白马井渔婆附近",长堤路,2023-03-19 16:03:46
150,12.32,3,加重,"西向东,从友谊天桥到解放东路",解放西路,2023-03-19 16:23:57
380,10.74,3,持平,"东向南,从新华北路到友谊天桥",解放西路,2023-03-19 16:23:57
510,19.5,2,缓解,"西向东,白马井渔婆附近",长堤路,2023-03-19 16:23:57
290,14.2,2,持平,"东向西,从白马井渔婆到人民大道",长堤路,2023-03-19 16:23:57
100,18.6,2,加重,"西向东,长堤路附近",博爱北路,2023-03-19 16:44:05
380,3.78,4,加重,"东向南,从新华北路到友谊天桥",解放西路,2023-03-19 16:44:08
290,14.2,2,加重,"东向西,从白马井渔婆到人民大道",长堤路,2023-03-19 16:44:08
380,10.6,3,缓解,"东向南,从新华北路到友谊天桥",解放西路,2023-03-19 17:04:18
220,12.42,3,加重,"西向东,解放东路附近",解放西路,2023-03-19 17:24:30
220,10.9,2,缓解,"东向南,友谊天桥附近",解放西路,2023-03-19 17:24:30
1490,12.01,3,持平,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-19 17:24:30
380,13.26,3,加重,"北向南,从得胜沙路到解放东路",新华北路,2023-03-19 17:44:40
380,3.65,4,加重,"东向南,从新华北路到友谊天桥",解放西路,2023-03-19 17:44:42
150,13.49,3,加重,"东向西,从新华北路到友谊天桥",解放西路,2023-03-19 18:04:52
260,18.6,3,缓解,"西向东,长振街附近",长堤路,2023-03-19 18:04:52
480,19.16,2,持平,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-19 18:04:52
1000,16.89,3,持平,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-19 18:25:03
480,18.98,2,缓解,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-19 18:25:03
620,1.76,4,加重,"西向东,和平北路附近",长堤路,2023-03-19 21:36:17
530,6.44,4,加重,"东向西,从白马井渔婆到人民大道",长堤路,2023-03-19 21:36:17
150,21.55,2,加重,"西向东,新华北路附近",长堤路,2023-03-20 11:52:03
100,18.6,2,加重,"西向东,长堤路附近",博爱北路,2023-03-20 13:32:51
370,4.24,4,加重,"东向南,从新华北路到友谊天桥",解放西路,2023-03-20 14:33:21
100,18.66,2,加重,"西向东,长堤路附近",博爱北路,2023-03-20 14:53:29
220,17.35,2,加重,"北向南,盐灶路附近",龙华路,2023-03-20 15:13:42
220,3.36,4,加重,"东向南,友谊天桥附近",解放西路,2023-03-20 16:34:21
190,14.01,3,加重,"南向北,从大兴东路到水巷口街",博爱北路,2023-03-20 17:34:52
100,18.58,2,加重,"西向东,长堤路附近",博爱北路,2023-03-20 17:34:52
220,8.69,3,加重,"东向南,友谊天桥附近",解放西路,2023-03-20 17:34:55
510,17.37,3,加重,"西向东,白马井渔婆附近",长堤路,2023-03-20 17:34:55
160,8.81,3,加重,"南向北,从解放东路到大兴西路",博爱北路,2023-03-20 17:55:04
100,18.6,2,加重,"西向东,长堤路附近",博爱北路,2023-03-20 17:55:04
370,5.36,4,加重,"东向西,滨海大道辅路附近",长堤路,2023-03-20 17:55:08
1000,14.92,3,缓解,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-20 17:55:08
1000,18.15,2,持平,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-20 18:15:19
370,18.6,2,缓解,"东向西,滨海大道辅路附近",长堤路,2023-03-20 18:15:19
110,11.25,3,加重,"南向北,博爱南路附近",博爱北路,2023-03-20 18:35:28
370,5.36,4,加重,"东向西,滨海大道辅路附近",长堤路,2023-03-20 18:35:31
1000,17.14,3,缓解,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-20 18:35:31
360,5.36,4,持平,"西向东,龙华路附近",龙华路,2023-03-20 18:35:32
240,17.66,3,缓解,"东向西,龙昆北路附近",龙华路,2023-03-20 18:35:32
190,13.78,3,加重,"南向北,从大兴东路到水巷口街",博爱北路,2023-03-20 18:55:40
500,18.6,3,加重,"西向东,和平北路附近",长堤路,2023-03-20 18:55:43
1000,18.33,2,缓解,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-20 18:55:43
480,18.54,2,缓解,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-20 18:55:43
510,19.75,2,持平,"西向东,白马井渔婆附近",长堤路,2023-03-20 19:15:53
240,13.6,3,加重,"东向西,从龙华路辅路路口到龙昆北路",龙华路,2023-03-20 19:15:54
330,13.6,3,缓解,"西向东,龙华路附近",龙华路,2023-03-20 19:15:54
150,17.01,3,加重,"东向北,友谊天桥附近",龙华路,2023-03-20 19:15:54
350,13.6,3,加重,"南向北,人民天桥附近",人民大道,2023-03-20 19:36:01
190,11.29,3,加重,"南向北,从大兴东路到水巷口街",博爱北路,2023-03-20 19:36:02
210,14.15,3,持平,"东向西,新华北路附近",解放西路,2023-03-20 19:36:05
510,14.61,3,加重,"西向东,白马井渔婆附近",长堤路,2023-03-20 19:36:06
150,17,3,加重,"东向北,友谊天桥附近",龙华路,2023-03-20 19:36:06
100,8.97,3,加重,"西向东,长堤路附近",博爱北路,2023-03-21 12:03:12
120,12.82,3,加重,"东向西,新华北路附近",解放西路,2023-03-21 14:24:29
100,5.36,4,加重,"西向东,长堤路附近",博爱北路,2023-03-21 16:45:40
160,12.01,3,加重,"东向西,从新华北路到友谊天桥",解放西路,2023-03-21 16:45:42
190,14.22,3,加重,"南向北,从大兴东路到水巷口街",博爱北路,2023-03-21 17:25:59
220,3.36,4,加重,"东向南,友谊天桥附近",解放西路,2023-03-22 14:37:37
220,10.6,2,加重,"东向南,友谊天桥附近",解放西路,2023-03-22 16:38:40
220,10.6,2,加重,"东向南,友谊天桥附近",解放西路,2023-03-22 17:19:00
350,10.08,3,加重,"南向北,从解放东路到水巷口街",博爱北路,2023-03-22 17:59:20
320,18.6,3,加重,"东向西,和平北路附近",长堤路,2023-03-22 17:59:23
220,10.6,2,持平,"东向南,友谊天桥附近",解放西路,2023-03-22 18:19:35
500,18.6,3,加重,"西向东,和平北路附近",长堤路,2023-03-22 18:19:35
480,18.28,2,加重,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-22 18:19:35
1000,18.61,2,持平,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-22 18:19:35
1000,8.26,4,加重,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-22 18:39:46
480,18.7,2,持平,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-22 18:39:46
240,13.6,3,加重,"东向西,从龙华路辅路路口到龙昆北路",龙华路,2023-03-22 18:39:47
190,13.6,3,加重,"西向东,龙华路附近",龙华路,2023-03-22 18:39:47
110,17.99,2,加重,"东向北,友谊天桥附近",龙华路,2023-03-22 18:39:47
220,19.69,2,加重,"北向南,盐灶路附近",龙华路,2023-03-22 18:39:47
210,13.84,3,加重,"东向西,新华北路附近",解放西路,2023-03-22 18:59:58
1000,18.41,2,缓解,"西向东,从友谊天桥到白马井渔婆",长堤路,2023-03-22 18:59:58
480,18.7,2,持平,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-22 18:59:58
510,19.7,2,加重,"西向东,白马井渔婆附近",长堤路,2023-03-22 19:20:09
480,19.16,2,缓解,"东向西,从和平北路到白马井渔婆",长堤路,2023-03-22 19:20:09
150,17.9,2,加重,"东向北,友谊天桥附近",龙华路,2023-03-22 19:20:10
160,6.23,4,加重,"南向北,人民大桥",人民大桥,2023-03-22 19:40:16
540,5.97,4,加重,"东向北,从长堤路到人民天桥",人民大道,2023-03-22 19:40:16
