congestion_distance,speed,status,congestion_trend,section_desc,name,time
510,15.24,3,加重,"西向东,北京路附近",北京路,2023-03-17 15:49:08
870,19.87,2,持平,"西向东,从沙河桥到神奇大桥",北京路,2023-03-17 15:49:08
650,8.23,4,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 15:49:10
650,16.58,3,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 16:09:24
650,16.25,3,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 16:49:49
550,9,3,加重,"西向东,从北京路路口到神奇大桥",北京路辅路,2023-03-17 17:10:00
550,8.26,3,加重,"西向东,从北京路路口到神奇大桥",北京路辅路,2023-03-17 17:50:27
720,7.66,3,持平,"北向南,从麻冲路到盐务街",宅吉路,2023-03-17 17:50:28
550,10.6,3,缓解,"西向东,从北京路路口到神奇大桥",北京路辅路,2023-03-17 18:10:42
720,6.38,4,缓解,"北向南,从麻冲路到盐务街",宅吉路,2023-03-17 18:10:43
650,16.07,3,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 18:17:32
510,1.32,4,持平,"北向南,汇丰港2元起附近",市北路,2023-03-17 18:37:46
1040,9.44,3,持平,"南向北,从中华北路到市北巷",市北路,2023-03-17 18:37:46
650,15.98,3,持平,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 18:37:47
650,1.98,4,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 18:58:01
550,10.67,3,加重,"西向东,从北京路路口到神奇大桥",北京路辅路,2023-03-17 19:16:26
720,10.03,3,持平,"北向南,从麻冲路到盐务街",宅吉路,2023-03-17 19:16:26
550,6.8,3,加重,"西向东,从北京路路口到神奇大桥",北京路辅路,2023-03-17 19:36:39
720,14.59,3,持平,"北向南,从麻冲路到盐务街",宅吉路,2023-03-17 19:56:53
650,14.68,3,缓解,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 19:56:54
650,9.15,4,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-17 20:57:32
650,9.4,3,加重,"南向北,从沙河桥到金仓路",盐务街,2023-03-18 15:26:12
