status,temperature,is_weekend,hour
1.25,11.0,0,16
1.0,11.0,0,16
1.68182,11.0,0,16
1.33333,11.0,0,16
1.125,11.0,0,16
1.68182,11.0,0,16
1.25,11.0,0,17
1.77273,11.0,0,17
1.08333,11.0,0,17
1.125,11.0,0,17
1.6,11.0,0,17
1.0,11.0,0,17
1.0,11.0,0,17
1.08333,11.0,0,17
1.25,11.0,0,17
1.45,11.0,0,17
1.5,11.0,0,17
1.125,11.0,0,17
1.6,11.0,0,17
1.6,11.0,0,17
1.20833,11.0,0,17
1.55556,11.0,0,17
1.6,11.0,0,17
1.0,11.0,0,17
1.25,11.0,0,17
1.0,11.0,0,17
1.29167,11.0,0,17
1.7,11.0,0,17
1.0,11.0,0,17
1.41667,11.0,0,17
1.65,11.0,0,17
1.5,11.0,0,17
1.125,11.0,0,17
1.0,11.0,0,17
1.6,11.0,0,17
1.0,11.0,0,17
1.65,11.0,0,17
1.29167,11.0,0,17
1.77273,10.0,0,18
1.33333,10.0,0,18
2.0,10.0,0,18
1.86364,10.0,0,18
2.22222,10.0,0,18
1.32,10.0,0,18
1.375,9.0,0,18
1.7619,9.0,0,18
2.09091,9.0,0,18
1.88889,9.0,0,18
1.33333,9.0,0,18
1.52632,9.0,0,18
1.25,9.0,0,19
1.88889,9.0,0,19
1.47368,9.0,0,19
1.52632,9.0,0,19
1.33333,9.0,0,19
1.25,9.0,0,19
1.3125,9.0,0,19
1.375,9.0,0,19
1.57895,9.0,0,19
1.55556,9.0,0,19
1.20833,9.0,0,19
1.42105,9.0,0,19
1.0,9.0,0,19
1.42105,9.0,0,19
1.0,9.0,0,19
1.08333,9.0,0,19
1.0,9.0,0,19
1.0,5.0,0,10
1.04167,5.0,0,10
1.5,5.0,0,10
1.0,5.0,0,11
1.26316,5.0,0,11
1.0,5.0,0,11
1.125,5.0,0,11
1.15789,5.0,0,11
1.0,5.0,0,11
1.0,5.0,0,11
1.0,5.0,0,11
1.0,5.0,0,11
1.3,5.0,0,11
1.04167,5.0,0,12
1.31579,5.0,0,12
1.125,5.0,0,12
1.04167,5.0,0,12
1.47619,5.0,0,12
1.0,5.0,0,12
1.0,16.0,0,12
1.13333,16.0,0,12
1.04167,6.0,0,12
1.0,6.0,0,12
1.54545,6.0,0,12
1.05882,16.0,0,13
1.06667,16.0,0,13
1.0,6.0,0,13
1.59091,6.0,0,13
1.04167,6.0,0,13
1.05882,16.0,0,13
1.14286,16.0,0,13
1.0,16.0,0,13
1.0625,6.0,0,13
1.54545,6.0,0,13
1.0,6.0,0,13
1.0,6.0,0,13
1.13333,16.0,0,13
1.33333,16.0,0,13
1.4,8.0,0,14
1.0,8.0,0,14
1.08333,8.0,0,14
1.0,16.0,0,14
1.16667,16.0,0,14
1.25,8.0,0,14
1.26316,8.0,0,14
1.0,8.0,0,14
1.1,16.0,0,14
1.22222,16.0,0,14
1.31579,8.0,0,14
1.0,8.0,0,14
1.25,8.0,0,14
1.11765,17.0,0,14
1.03333,17.0,0,14
1.0,8.0,0,15
1.25,8.0,0,15
1.59091,8.0,0,15
1.16667,17.0,0,15
1.11765,17.0,0,15
1.20833,8.0,0,15
1.54545,8.0,0,15
1.0,8.0,0,15
1.1,17.0,0,15
1.22222,17.0,0,15
1.25,8.0,0,15
1.5,8.0,0,15
1.54545,8.0,0,15
1.09091,17.0,0,15
1.0,18.0,0,15
1.25806,18.0,0,15
1.55556,18.0,0,15
1.125,10.0,0,16
1.29167,10.0,0,16
1.59091,10.0,0,16
1.11765,18.0,0,16
1.21875,18.0,0,16
1.1875,18.0,0,16
1.65,10.0,0,16
1.375,10.0,0,16
1.25,10.0,0,16
1.23333,18.0,0,16
1.44444,18.0,0,16
1.33333,18.0,0,16
1.5,10.0,0,16
2.0,10.0,0,16
1.33333,10.0,0,16
1.2,17.0,0,16
1.375,17.0,0,16
1.36842,17.0,0,16
1.77273,9.0,0,17
1.66667,9.0,0,17
1.25,9.0,0,17
1.58065,17.0,0,17
1.61111,17.0,0,17
1.0,17.0,0,17
2.07143,17.0,0,17
1.36364,9.0,0,17
1.0,9.0,0,17
2.1875,9.0,0,17
1.53333,17.0,0,17
1.51613,17.0,0,17
1.57895,17.0,0,17
1.86364,17.0,0,17
1.78125,17.0,0,17
2.05882,17.0,0,17
2.23529,17.0,0,18
1.94286,17.0,0,18
2.0,17.0,0,18
1.66667,9.0,0,18
1.76471,17.0,0,18
2.0,17.0,0,18
2.0,9.0,0,18
2.0625,17.0,0,18
1.85714,9.0,0,18
2.05263,17.0,0,18
2.25,9.0,0,18
1.75,9.0,0,18
2.0,17.0,0,18
2.22222,17.0,0,18
1.55882,15.0,0,18
1.89474,15.0,0,18
1.25,15.0,0,18
1.83333,15.0,0,18
1.94737,8.0,0,19
1.5,8.0,0,19
1.375,8.0,0,19
1.56667,15.0,0,19
1.8,15.0,0,19
1.70588,15.0,0,19
2.14286,8.0,0,19
1.29167,8.0,0,19
1.5,8.0,0,19
1.5625,15.0,0,19
1.61111,15.0,0,19
1.2,15.0,0,19
1.20833,7.0,0,19
1.84615,7.0,0,19
1.58824,14.0,0,19
1.52941,14.0,0,19
1.3,14.0,0,19
1.16667,7.0,0,20
1.55556,7.0,0,20
1.73684,7.0,0,20
1.42105,14.0,0,20
1.5,14.0,0,20
1.13333,14.0,0,20
1.07692,14.0,0,20
1.95455,7.0,0,20
1.25,7.0,0,20
1.25,7.0,0,20
1.11765,14.0,0,20
1.2,14.0,0,20
1.3,14.0,0,20
1.5,7.0,0,20
1.25,7.0,0,20
1.7619,7.0,0,20
1.13636,7.0,0,20
1.29412,12.0,0,20
1.13333,12.0,0,20
1.3125,12.0,0,20
1.04167,7.0,0,21
1.625,7.0,0,21
1.35,7.0,0,21
1.0,12.0,0,21
1.25806,12.0,0,21
1.05882,12.0,0,21
1.25,7.0,0,21
1.31579,7.0,0,21
1.08333,7.0,0,21
1.35294,12.0,0,21
1.13333,12.0,0,21
1.2,12.0,0,21
1.31579,7.0,0,21
1.25,7.0,0,21
1.08333,7.0,0,21
1.33333,10.0,0,21
1.13333,10.0,0,21
1.0,10.0,0,21
1.06667,10.0,0,21
1.26316,5.0,0,22
1.04167,5.0,0,22
1.25,5.0,0,22
1.13333,10.0,0,22
1.22581,10.0,0,22
1.11765,10.0,0,22
2.0,5.0,0,22
1.16667,5.0,0,22
1.14286,5.0,0,22
1.0,5.0,0,22
1.06667,10.0,0,22
1.29412,10.0,0,22
1.13333,10.0,0,22
1.26316,5.0,0,22
1.08333,5.0,0,22
1.0,5.0,0,22
1.0,9.0,0,22
1.0,9.0,0,22
1.03333,9.0,0,22
1.0,4.0,0,23
1.16667,4.0,0,23
1.0,4.0,0,23
1.11765,9.0,0,23
1.125,4.0,0,23
1.0,4.0,0,23
1.0,4.0,0,23
1.0,4.0,0,23
1.0,4.0,0,23
1.08333,4.0,0,23
1.08333,3.0,1,0
1.0,3.0,1,0
1.0,3.0,1,0
1.23529,6.0,1,10
1.0,12.0,1,10
1.125,12.0,1,10
1.06667,6.0,1,10
1.45,12.0,1,10
1.13333,6.0,1,10
1.06667,6.0,1,11
1.45,12.0,1,11
1.04167,12.0,1,11
1.17647,6.0,1,11
1.25806,6.0,1,11
1.375,12.0,1,11
1.04167,12.0,1,11
1.11765,6.0,1,11
1.0,6.0,1,11
1.125,12.0,1,11
1.35,12.0,1,11
1.13333,6.0,1,11
1.24,6.0,1,11
1.45,12.0,1,11
1.25,12.0,1,11
1.08333,12.0,1,11
1.13333,6.0,1,11
1.17647,6.0,1,11
1.26667,6.0,1,11
1.16667,17.0,1,15
1.47368,17.0,1,15
1.47368,6.0,1,15
1.08333,6.0,1,15
1.2,6.0,1,15
1.625,17.0,1,15
1.0,6.0,1,15
1.08333,17.0,1,15
2.11111,17.0,1,15
1.0,17.0,1,15
1.36842,17.0,1,15
1.35,6.0,1,15
1.1875,6.0,1,15
1.23333,6.0,1,15
1.61905,17.0,1,15
1.41935,6.0,1,15
2.11111,17.0,1,15
1.27778,6.0,1,15
1.16667,17.0,1,15
1.13333,6.0,1,15
1.29412,6.0,1,16
1.125,17.0,1,16
1.36842,17.0,1,16
1.06667,6.0,1,16
1.44444,17.0,1,16
1.5,6.0,1,16
1.77273,17.0,1,16
1.35294,6.0,1,16
1.375,17.0,1,16
1.08333,17.0,1,16
1.32258,6.0,1,16
1.17647,6.0,1,16
1.25,6.0,1,16
1.38889,6.0,1,16
1.5,17.0,1,16
1.5,17.0,1,16
1.04167,17.0,1,16
1.0,6.0,1,16
1.06667,6.0,1,16
1.55556,17.0,1,17
1.125,17.0,1,17
1.52941,7.0,1,17
1.77778,17.0,1,17
1.0,17.0,1,17
1.1,7.0,1,17
1.2,7.0,1,17
1.125,17.0,1,17
1.125,17.0,1,17
1.85,7.0,1,17
1.06667,7.0,1,17
